"Dirección IP","Palabra clave","Modelo","Número de serie","Nivel de cartucho negro","Número de serie de cartucho negro","Páginas en carrito con el cartucho negro","Capacidad de cartucho negro","Cobertura de duración de cartucho negro","Último trabajo de cobertura de cartucho negro","Fecha de instalación de cartucho negro","Nivel de unidad de imágenes","Número de serie de la unidad de imagen","Capacidad de unidad de imágenes","Nivel de kit de mantenimiento","Capacidad de kit de mantenimiento","Estado de suministro"
"10.108.43.5 (SECURED CAESAR2)","Agencia Zona Rosa","Lexmark MX522adhe","701714740TYG5","16","CAB233035535","18932","25000","6","5","2024-04-24T21:41:24.000+00:00","26","CAD2132171A8","60000","78","200000","Advertencia"
"10.108.43.15 (SECURED CAESAR2)","Agencia Zona Rosa","Lexmark MX722adhe","7464130024H0V","49","CAB222573AC4","31585","55000","4","6","2023-09-26T19:15:56.000+00:00","72","CAD21203239B","150000","79","225000","Aceptar"
"10.108.43.38 (SECURED CAESAR2)","Agencia Zona Rosa","Lexmark MX522adhe","701724540X8G2","60","CAB250133301","11063","25000","6","2","2026-06-08T21:33:45.000+00:00","10","CAD213560998","60000","21","200000","Aceptar"
"10.108.44.19 (UNSECURED CAESAR1)","Agencia La Libertad","Lexmark MX511de","70157GHH1T1V9","6","CAB253292EC1","14108","20000","6","5","2026-06-29T14:47:30.000+00:00","57","CAB253501379","60000","91","200000","Advertencia"
"10.108.45.3 (SECURED CAESAR2)","Agencia Plaza Jardin","Lexmark MX722adhe","7464035023LRR","68","CAB252802EF0","101210","55000","1","4","2026-08-13T22:55:14.000+00:00","28","CAB250421237","150000","42","225000","Aceptar"
"10.108.45.178 (SECURED CAESAR2)","Agencia Plaza Jardin","Lexmark MX522adhe","701723640WK2K","40","CAB242827060","16831","25000","5","13","2025-06-25T15:44:26.000+00:00","28","CAD212676EA0","60000","76","200000","Aceptar"
"10.108.46.3 (SECURED CAESAR2)","Agencia Masferrer","Lexmark MX722adhe","7464035023LT5","84","CAB252802F05","7138","55000","7","2","2026-09-01T19:22:05.000+00:00","5","CAB25042121A","150000","69","225000","Advertencia"
"10.108.47.3 (UNSECURED CAESAR1)","Agencia Cojutepeque","Lexmark MX511de","70157GHH1TT3F","6","CAB253292C1A","14413","20000","6","5","2026-04-11T17:12:21.000+00:00","70","CAB252262EE7","60000","94","200000","Advertencia"
"10.108.47.26 (UNSECURED CAESAR1)","Agencia Cojutepeque","Lexmark MX511de","70157GHH1TT49","19","CAB2506468FA","11936","20000","5","3","2025-11-14T17:52:31.000+00:00","100","CAB25350151D","60000","31","200000","Advertencia"
"10.108.47.33 (UNSECURED CAESAR1)","Agencia Cojutepeque","Lexmark MX511de","70157GHH1TNCG","48","CAB253292C2D","10477","20000","4","2","2026-07-15T18:06:14.000+00:00","69","CAB253501042","60000","19","200000","Aceptar"
"10.108.49.3 (SECURED CAESAR2)","Agencia San Marcos","Lexmark MX722adhe","7464126024CL6","59","CAB252802EAF","16659","55000","7","","2026-08-07T20:58:16.000+00:00","22","CAB251320DC5","150000","73","225000","Aceptar"
"10.108.93.35 (SECURED CAESAR1)","Walmart Constitucion","Lexmark MX511de","70157GHH1T1RZ","2","CAB2611447FE","9836","20000","9","29","2026-08-16T15:02:17.000+00:00","100","CAB253510304","60000","11","200000","Advertencia"
"10.108.98.11 (UNSECURED CAESAR1)","Pricesmart Santa Elena","Lexmark MX511de","70157GHH1TT4R","100","CAB261144A97","245","20000","8","3","2026-09-19T17:24:53.000+00:00","93","CAB252262DFB","60000","71","200000","Aceptar"
"10.108.98.70 (UNSECURED CAESAR1)","Pricesmart Tutunichapa","Lexmark MX511de","70157GHH1TNF6","9","CAB253292C89","9356","20000","9","2","2026-05-04T22:03:10.000+00:00","77","CAB252262FC2","60000","58","200000","Advertencia"
"10.108.98.100 (UNSECURED CAESAR1)","Pricesmart Santa Ana","Lexmark MX511de","70157GHH1TNC7","100","CAB253292DA8","214","20000","9","21","2026-09-08T22:56:29.000+00:00","32","CAB200373DBF","60000","87","200000","Aceptar"
"10.108.103.247 (SECURED CAESAR2)","Pricesmart San Miguel","Lexmark MX522adhe","701723640WK23","85","CAB252721635","1831","25000","12","10","2026-07-30T19:14:44.000+00:00","47","CAD222402D22","60000","89","200000","Aceptar"
"10.108.141.3 (UNSECURED CAESAR1)","Agencia Metapan","Lexmark MX511de","70157GHH1T1VT","57","CAB253292D72","7969","20000","5","4","2022-08-10T03:19:59.000+00:00","4","CAS171424E8D","60000","75","200000","Advertencia"
