"Dirección IP","Palabra clave","Modelo","Número de serie","Nivel de cartucho negro","Número de serie de cartucho negro","Páginas en carrito con el cartucho negro","Capacidad de cartucho negro","Cobertura de duración de cartucho negro","Último trabajo de cobertura de cartucho negro","Fecha de instalación de cartucho negro","Nivel de unidad de imágenes","Número de serie de la unidad de imagen","Capacidad de unidad de imágenes","Nivel de kit de mantenimiento","Capacidad de kit de mantenimiento","Estado de suministro"
"22.98.216.123 (UNSECURED CAESAR2)","Despensa Familiar San Luis la Herradura","Lexmark MS823dn","4064820010FNR","44","CAB232832628","29612","55000","1","5","2026-03-09T16:12:10.000+00:00","50","CAD182771E35","150000","55","225000","Aceptar"
"22.98.216.147 (UNSECURED CAESAR1)","Despensa Familiar San Luis la Herradura","Lexmark MX511de","70157GHH1KFN6","53","CAB251890031","10842","20000","3","7","2025-11-09T22:00:55.000+00:00","93","CAB252262E23","60000","48","200000","Aceptar"
"22.98.224.123 (UNSECURED CAESAR1_LITE)","Despensa Familiar El Rosario","Lexmark MS811","40637D6604WDG","73","CAB251411CE0","12803","45000","4","6","2026-01-20T22:02:16.000+00:00","47","CAB2331470AF","100000","63","200000","Aceptar"
"22.98.224.147 (MISSING_CREDENTIALS CAESAR1)","Despensa Familiar El Rosario","Lexmark MX511de","70157GHH1RF5Z","30","CAB250646437","9106","20000","6","7","2025-10-11T15:50:52.000+00:00","82","CAB193163860","60000","30","200000","Aceptar"
"22.98.232.122 (UNSECURED CAESAR2)","Maxi Despensa Soyapango","Lexmark MS823dn","4064847013XCG","19","CAB24033042B","52991","55000","2","1","2025-07-09T19:35:11.000+00:00","74","CAB242074931","150000","77","225000","Aceptar"
"22.98.232.123 (UNSECURED CAESAR2)","Maxi Despensa Soyapango","Lexmark MS823dn","40648180106HP","79","CAB251364D62","13508","55000","4","1","2025-12-17T13:00:03.000+00:00","80","CAB241791D0A","150000","17","225000","Aceptar"
"22.98.232.146 (UNSECURED CAESAR2)","Maxi Despensa Soyapango","Lexmark MS823dn","40648180106HM","49","CAB241446D70","34425","55000","1","11","2025-09-09T14:26:56.000+00:00","100","CAB251320E19","150000","63","225000","Aceptar"
"22.98.232.147 (UNSECURED CAESAR1)","Maxi Despensa Soyapango","Lexmark MX511de","70157GHH1RF6D","100","CAB253292E4A","710","20000","5","2","2026-07-23T00:04:54.000+00:00","88","CAB252271FE8","60000","18","200000","Aceptar"
"22.98.240.123 (UNSECURED CAESAR1_LITE)","Maxi Despensa Boulevard del Ejercito","Lexmark MS811","40635C6600DV3","68","CAB251411C6C","10296","45000","6","5","2026-01-15T17:43:30.000+00:00","77","CAB24317512F","100000","69","200000","Aceptar"
"22.98.240.146 (UNSECURED CAESAR1_LITE)","Maxi Despensa Boulevard del Ejercito","Lexmark MS811","40633699078XB","46","CAB2421569D9","28003","45000","3","2","2025-05-29T17:40:01.000+00:00","69","CAB243175105","100000","49","200000","Aceptar"
"22.98.240.147 (UNSECURED CAESAR1)","Maxi Despensa Boulevard del Ejercito","Lexmark MX511de","70157GHH1PL3T","48","CAB2506462F9","3601","20000","5","7","2025-10-06T18:11:55.000+00:00","91","CAB242223EDF","60000","76","200000","Aceptar"
"22.98.246.140 (UNSECURED CAESAR1_LITE)","Maxi Despensa Boulevard del Ejercito","Lexmark MS811","406337990FVWL","66","CAB250221111","10322","45000","6","8","2019-08-22T11:20:43.000+00:00","73","CAB222221D68","100000","100","200000","Aceptar"
